,AGE,ATTRITION,BUSINESS_TRAVEL,DISTANCE_FROM_HOME,EDUCATION,EDUCATION_FIELD,ENVIRONMENT_SATISFACTION,GENDER,JOB_INVOLVEMENT,JOB_LEVEL,JOB_ROLE,JOB_SATISFACTION,MARITAL_STATUS,MONTHLY_INCOME,MONTHLY_RATE,NUM_COMPANIES_WORKED,OVER_TIME,PERCENT_SALARY_HIKE,PERFORMANCE_RATING,RELATIONSHIP_SATISFACTION,STOCK_OPTION_LEVEL,TOTAL_WORKING_YEARS,TRAINING_TIMES_LAST_YEAR,WORK_LIFE_BALANCE,YEARS_AT_COMPANY,YEARS_SINCE_LAST_PROMOTION,YEARS_WITH_CURR_MANAGER,DATE_BIRTH,REMOTE_WORK
11,56,No,travel_rarely,23,3,life_sciences,4,0,3,4,manufacturing_director,2,married,13402.0,18235,4,Yes,12,,1,1,33.0,0,3.0,19,15,9,1967,no
12,38,No,,10,3,medical,2,1,1,3,research_director,3,married,13206.0,3376,3,No,12,3.0,1,1,,3,3.0,18,1,11,1985,yes
13,41,Yes,travel_rarely,12,3,,2,1,3,5,research_director,3,married,19545.0,16280,1,No,12,3.0,4,0,,0,3.0,22,15,8,1982,no
14,55,No,,14,4,medical,3,0,4,5,research_director,2,single,19132.0,13339,8,No,11,3.0,4,0,,3,3.0,24,2,15,1968,yes
15,40,No,travel_rarely,2,4,,3,1,3,5,manager,3,,18041.0,13022,0,No,14,3.0,4,0,,2,3.0,20,1,12,1983,no
16,58,Yes,travel_rarely,2,4,,4,0,3,5,research_director,2,single,19246.0,25761,7,Yes,12,3.0,4,0,40.0,2,3.0,31,13,8,1965,no
17,46,No,travel_rarely,2,3,,3,1,3,4,manager,1,,15341.0,24097,8,,23,4.0,1,0,28.0,2,3.0,26,15,9,1977,no
18,35,No,,13,5,life_sciences,2,0,4,2,research_scientist,1,married,5304.0,26312,1,,11,3.0,4,0,,2,3.0,16,1,10,1988,no
19,40,No,travel_rarely,15,3,life_sciences,1,1,2,3,manufacturing_director,3,,10007.0,25800,1,,13,3.0,4,2,18.0,2,,18,14,12,1983,yes
20,45,No,non-travel,1,1,,3,0,2,3,healthcare_representative,3,,10748.0,3395,3,,23,4.0,4,1,25.0,3,2.0,23,14,4,1978,no
21,33,No,,1,2,life_sciences,1,1,3,3,research_director,4,single,10007.0,15146,1,Yes,12,3.0,3,0,15.0,1,3.0,15,8,12,1990,yes
22,36,No,,8,3,,3,1,3,3,healthcare_representative,3,divorced,10007.0,8202,1,,13,,2,3,17.0,2,3.0,17,12,8,1987,yes
23,47,No,,2,2,other,3,1,3,4,manager,4,married,16752.0,12982,1,,11,3.0,3,1,,3,2.0,26,3,0,1976,no
24,36,No,travel_rarely,42,2,life_sciences,42,0,3,2,sales_executive,4,,6201.0,2823,1,,14,3.0,4,1,18.0,1,,18,4,11,1987,yes
25,35,No,,9,3,life_sciences,4,1,2,3,manufacturing_director,3,married,10007.0,23457,1,Yes,20,4.0,2,1,17.0,2,3.0,17,5,15,1988,no
26,52,Yes,,2,1,,1,1,1,5,manager,4,married,19845.0,25846,1,No,15,3.0,4,1,33.0,3,3.0,32,6,9,1971,yes
27,36,No,,2,4,life_sciences,3,1,3,2,manufacturing_director,2,single,5304.0,2323,9,Yes,11,3.0,4,0,18.0,2,3.0,16,5,12,1987,no
28,33,No,travel_rarely,28,4,life_sciences,2,0,3,2,laboratory_technician,3,married,5304.0,22949,1,,12,3.0,2,1,15.0,3,3.0,15,5,7,1990,yes
29,34,No,non-travel,10,3,life_sciences,4,0,3,2,sales_executive,3,,4001.0,12313,1,Yes,14,3.0,3,1,15.0,3,3.0,15,0,7,1989,yes
30,41,No,,37,1,,37,1,3,3,sales_executive,3,divorced,10447.0,26458,0,,13,3.0,4,1,,3,4.0,22,13,5,1982,yes
31,47,No,,25,3,medical,1,0,3,3,healthcare_representative,3,,10007.0,13084,2,,23,4.0,2,0,25.0,3,3.0,17,12,11,1976,yes
32,53,No,travel_rarely,5,3,,3,1,3,5,manager,3,,19132.0,10735,4,,11,3.0,4,1,26.0,3,2.0,14,4,8,1970,yes
33,35,No,,1,4,marketing,3,0,2,2,sales_executive,1,single,5304.0,23016,0,No,14,,2,0,16.0,2,3.0,15,2,8,1988,no
34,34,No,travel_rarely,6,4,other,1,1,3,2,research_scientist,3,single,5304.0,12482,1,,14,3.0,3,0,16.0,3,3.0,16,2,10,1989,yes
35,46,No,travel_rarely,1,2,,2,1,3,3,sales_executive,1,divorced,10007.0,2137,1,No,25,4.0,3,3,24.0,2,3.0,24,15,7,1977,yes
36,43,No,,16,3,,4,1,3,4,manager,4,married,16064.0,7744,5,,22,4.0,3,1,22.0,3,3.0,17,1,9,1980,yes
37,36,No,,6,3,life_sciences,4,0,3,1,laboratory_technician,4,married,3210.0,20251,0,,11,3.0,3,1,16.0,4,3.0,15,10,11,1987,yes
38,60,No,travel_frequently,28,3,,3,1,2,3,sales_executive,1,married,10266.0,2845,4,No,19,3.0,4,0,22.0,5,4.0,18,13,11,1963,yes
39,40,No,travel_frequently,5,4,,4,0,2,3,sales_executive,1,married,10475.0,23772,5,Yes,21,4.0,3,1,20.0,2,3.0,18,1,12,1983,no
40,32,No,travel_rarely,4,3,,3,1,2,2,manufacturing_director,3,married,6162.0,19124,1,No,12,3.0,3,1,14.0,3,3.0,14,6,8,1991,no
41,41,No,travel_rarely,35,3,,35,0,3,1,laboratory_technician,1,single,4721.0,3119,2,Yes,13,,3,0,20.0,3,3.0,18,2,17,1982,yes
42,53,No,,2,2,medical,3,0,3,4,manager,3,divorced,15341.0,13938,6,No,13,3.0,3,1,22.0,3,4.0,17,15,2,1970,no
43,36,Yes,travel_rarely,16,4,,3,1,4,1,laboratory_technician,1,single,2683.0,8269,1,,16,3.0,3,0,18.0,1,3.0,17,15,14,1987,yes
44,46,No,,8,4,life_sciences,4,1,2,2,research_scientist,1,divorced,4615.0,21029,8,Yes,23,4.0,1,3,,2,3.0,16,1,7,1977,no
45,38,No,travel_rarely,1,4,,4,0,3,2,sales_executive,2,married,5304.0,7636,0,No,15,3.0,1,2,16.0,3,,15,5,8,1985,yes
46,51,No,,1,4,,1,1,2,3,healthcare_representative,1,single,10007.0,25796,3,,20,4.0,3,0,23.0,1,2.0,13,12,8,1972,yes
47,43,No,,26,2,,3,0,3,4,manager,4,married,16959.0,19494,1,Yes,12,3.0,4,2,25.0,3,4.0,25,4,12,1980,yes
48,37,No,,1,3,life_sciences,4,1,3,1,research_scientist,4,single,2683.0,15881,1,No,12,3.0,2,0,,3,3.0,17,5,7,1986,yes
49,32,No,travel_rarely,8,2,technical_degree,3,1,2,2,sales_executive,2,married,5304.0,24624,1,Yes,11,3.0,4,0,,2,3.0,13,11,9,1991,yes
50,38,No,,1,3,,4,1,3,3,research_director,1,married,10007.0,16292,1,,13,3.0,2,1,15.0,3,3.0,15,5,11,1985,no
51,46,No,,3,3,life_sciences,3,1,3,4,manager,2,,15341.0,11380,8,No,12,3.0,4,1,23.0,2,4.0,13,5,1,1977,yes
52,35,Yes,travel_rarely,10,3,medical,4,0,2,3,sales_executive,1,married,10306.0,21530,9,,17,3.0,3,0,15.0,3,,13,6,0,1988,no
53,43,No,,6,3,medical,1,1,2,5,manager,3,married,19132.0,22539,7,No,13,3.0,4,0,21.0,2,3.0,16,6,14,1980,yes
54,56,No,non-travel,1,4,life_sciences,3,0,3,2,healthcare_representative,3,divorced,5304.0,26236,1,No,21,,1,1,,2,2.0,13,1,9,1967,yes
55,36,No,non-travel,15,4,marketing,4,0,1,2,sales_executive,4,divorced,5406.0,10436,1,No,24,4.0,1,1,,4,2.0,15,11,11,1987,yes
56,38,No,,6,3,medical,2,1,1,2,research_scientist,4,,5304.0,15717,7,,12,3.0,4,3,17.0,3,3.0,13,1,9,1985,yes
57,49,No,,26,4,medical,3,1,3,2,manufacturing_director,1,,5304.0,5549,1,No,14,3.0,3,0,16.0,2,2.0,15,5,11,1974,no
58,39,No,travel_rarely,4,4,life_sciences,4,1,2,2,sales_executive,3,married,5902.0,14590,4,,14,3.0,3,1,17.0,1,4.0,15,5,9,1984,yes
59,40,No,,4,4,,3,0,2,3,sales_executive,4,married,10855.0,8552,7,No,11,,1,1,15.0,2,2.0,12,2,11,1983,yes
60,36,No,,5,2,,4,0,3,2,laboratory_technician,2,single,5914.0,9945,8,No,16,3.0,4,0,16.0,3,4.0,13,3,7,1987,yes
61,37,No,,25,5,,2,1,3,2,research_scientist,3,married,5304.0,23866,3,Yes,15,3.0,1,2,15.0,2,3.0,13,10,7,1986,no
62,35,No,,6,4,,2,0,1,2,research_scientist,4,,6646.0,19368,1,,13,3.0,2,0,,3,3.0,17,11,8,1988,yes
63,33,No,travel_frequently,6,3,life_sciences,3,0,3,2,healthcare_representative,4,divorced,5304.0,5335,3,No,23,4.0,3,1,15.0,2,1.0,13,4,7,1990,no
64,50,No,travel_rarely,24,3,,4,0,3,4,manufacturing_director,3,married,13973.0,4161,3,Yes,18,3.0,4,1,22.0,2,3.0,12,1,5,1973,no
65,48,No,travel_rarely,4,4,,3,0,2,3,healthcare_representative,3,single,10007.0,22245,7,,14,,2,0,27.0,3,3.0,15,4,8,1975,yes
66,44,No,travel_rarely,28,3,,4,1,4,4,sales_executive,4,married,13320.0,11737,3,,18,3.0,3,1,,2,3.0,12,11,11,1979,yes
67,44,No,travel_rarely,29,4,,4,0,3,2,research_scientist,4,single,5304.0,7744,1,,25,4.0,2,0,,3,3.0,20,13,17,1979,yes
68,40,No,,25,1,,25,1,4,2,healthcare_representative,3,,5304.0,13888,5,No,20,4.0,2,3,15.0,0,3.0,12,11,8,1983,yes
69,34,No,travel_rarely,2,4,,3,1,3,2,healthcare_representative,4,single,6687.0,6163,1,,11,3.0,4,0,14.0,2,4.0,14,4,11,1989,yes
70,35,No,non-travel,8,4,,3,1,3,2,healthcare_representative,3,,5304.0,12250,1,,12,3.0,4,1,,5,3.0,14,2,9,1988,yes
71,50,No,,17,5,life_sciences,4,1,2,3,research_director,1,,10007.0,21981,5,No,15,3.0,3,3,,3,3.0,14,1,11,1973,no
72,49,No,,6,1,life_sciences,3,1,2,4,healthcare_representative,3,,15341.0,11652,2,,19,3.0,2,1,,3,3.0,15,2,12,1974,yes
73,38,No,travel_frequently,1,3,life_sciences,4,0,3,2,research_scientist,4,,4735.0,9867,7,No,15,3.0,4,2,19.0,4,,13,2,9,1985,yes
74,33,No,,21,3,,2,0,4,1,laboratory_technician,2,,2683.0,13637,1,No,18,3.0,4,3,14.0,6,,14,2,13,1990,yes
75,47,No,travel_rarely,4,3,life_sciences,3,1,2,3,manufacturing_director,2,divorced,10007.0,19271,8,Yes,12,,3,1,,4,3.0,22,14,10,1976,yes
76,38,No,,8,3,,4,1,2,2,research_scientist,2,divorced,5304.0,18115,1,,16,3.0,3,1,20.0,3,3.0,20,0,7,1985,no
77,37,No,travel_rarely,10,3,life_sciences,3,1,4,3,research_director,4,,10007.0,15471,1,Yes,25,4.0,1,1,16.0,2,3.0,16,6,8,1986,yes
78,30,No,,2,3,,3,0,2,2,healthcare_representative,4,married,5304.0,15830,1,No,19,,1,3,11.0,3,3.0,11,10,8,1993,yes
79,58,No,travel_rarely,18,4,,4,0,3,4,sales_executive,3,single,13872.0,24409,0,,13,3.0,3,0,38.0,1,2.0,37,1,8,1965,yes
80,34,No,travel_rarely,5,3,,3,1,2,3,manager,1,single,10007.0,5615,2,,12,3.0,4,0,14.0,6,3.0,11,5,8,1989,no
81,58,Yes,travel_rarely,23,4,medical,4,1,3,3,healthcare_representative,4,married,10007.0,3465,1,,12,3.0,4,1,40.0,3,2.0,40,15,6,1965,yes
82,38,No,,3,3,life_sciences,1,0,3,3,sales_executive,3,divorced,10007.0,9647,0,,12,3.0,3,2,,6,2.0,16,5,13,1985,yes
83,29,No,travel_frequently,1,1,,2,1,3,3,sales_executive,4,married,10007.0,6599,1,,14,3.0,4,1,11.0,5,3.0,11,4,1,1994,yes
84,55,No,travel_rarely,1,3,medical,4,0,3,5,manager,1,single,19045.0,18938,0,,14,3.0,3,0,37.0,2,3.0,36,4,13,1968,yes
85,41,No,,10,4,,4,0,3,4,manager,2,,16015.0,15896,1,,19,3.0,2,0,,2,3.0,22,0,4,1982,yes
86,39,No,travel_rarely,1,3,,3,0,4,3,healthcare_representative,4,,9613.0,10942,0,No,17,,1,3,19.0,5,2.0,18,3,7,1984,no
87,38,No,,15,2,life_sciences,3,0,2,3,research_director,4,,11510.0,15682,0,,14,3.0,2,1,,3,3.0,11,2,9,1985,yes
88,43,No,,12,3,,1,0,2,4,research_director,2,,15341.0,4345,1,No,11,3.0,3,1,,3,,25,3,9,1980,yes
89,31,No,,30,2,,2,1,3,2,manufacturing_director,1,married,4306.0,4156,1,No,12,3.0,2,1,13.0,5,1.0,13,3,12,1992,yes
90,50,No,travel_rarely,27,4,life_sciences,27,0,2,4,manager,3,married,17046.0,9314,0,No,15,3.0,2,1,28.0,2,3.0,27,15,7,1973,yes
91,35,No,,25,3,technical_degree,4,0,2,3,manufacturing_director,2,married,10007.0,9129,3,No,16,,1,0,,2,3.0,13,4,8,1988,no
92,47,No,,16,4,,3,0,4,2,manufacturing_director,3,,5067.0,6759,1,Yes,19,3.0,3,0,20.0,3,,19,2,7,1976,yes
93,35,No,,25,4,,3,1,3,3,healthcare_representative,3,divorced,10007.0,6975,1,Yes,11,,3,1,,3,2.0,16,10,1,1988,yes
94,40,No,travel_rarely,20,4,,1,0,3,3,healthcare_representative,4,married,10007.0,26542,4,,20,4.0,4,1,14.0,6,3.0,11,11,1,1983,yes
95,45,No,,9,4,life_sciences,2,1,2,2,sales_executive,3,married,5304.0,17970,1,,13,3.0,4,1,15.0,2,3.0,15,4,12,1978,no
96,33,No,,9,3,medical,1,0,3,1,research_scientist,4,married,2683.0,6311,0,,13,3.0,2,1,15.0,5,3.0,14,4,10,1990,no
97,36,No,travel_frequently,3,3,,3,0,3,1,research_scientist,2,married,3692.0,9256,1,No,12,3.0,3,0,12.0,2,2.0,11,0,7,1987,no
98,45,Yes,,13,3,marketing,1,1,1,5,manager,2,,19132.0,2493,2,Yes,16,3.0,1,0,26.0,2,3.0,24,1,11,1978,yes
99,51,No,travel_frequently,27,3,,27,0,3,5,manager,2,,19847.0,19196,4,Yes,24,,1,1,,5,2.0,29,11,10,1972,no
100,34,No,travel_rarely,7,2,technical_degree,2,0,3,1,sales_representative,3,,2308.0,4944,0,Yes,25,4.0,2,1,12.0,4,3.0,11,5,7,1989,no
101,43,No,travel_rarely,15,2,,3,0,2,4,research_director,3,,15341.0,3525,1,No,24,4.0,1,1,,3,3.0,14,6,11,1980,yes
102,34,No,,5,2,medical,2,0,2,2,laboratory_technician,4,,5304.0,11912,1,No,14,3.0,3,1,,3,,15,4,13,1989,no
103,38,No,,2,3,,1,0,3,1,human_resources,2,divorced,2683.0,7129,5,No,13,3.0,4,3,13.0,3,3.0,11,3,8,1985,yes
104,48,No,,10,3,,4,0,2,5,research_director,2,,19132.0,13583,4,No,12,3.0,4,0,29.0,3,3.0,22,12,9,1975,no
105,34,No,,22,4,other,3,0,2,2,research_scientist,4,married,5747.0,26496,1,Yes,15,3.0,2,0,16.0,3,3.0,15,6,11,1989,no
106,32,No,travel_rarely,31,4,,31,1,3,3,sales_executive,4,,10422.0,24032,1,No,19,3.0,3,2,14.0,3,3.0,14,5,7,1991,yes
107,29,No,travel_rarely,21,4,life_sciences,2,1,4,3,manufacturing_director,1,divorced,10007.0,10195,1,No,11,3.0,3,1,10.0,1,3.0,10,8,8,1994,no
108,46,No,,1,3,medical,3,0,2,3,healthcare_representative,1,married,10007.0,3142,2,Yes,13,3.0,3,1,21.0,5,2.0,10,9,5,1977,no
109,30,No,,9,3,,3,0,3,2,human_resources,4,married,6347.0,13982,0,Yes,19,3.0,4,0,,2,1.0,11,4,7,1993,no
110,45,No,,9,3,life_sciences,2,0,3,2,laboratory_technician,2,,2348.0,10901,8,No,18,3.0,3,1,20.0,2,,17,0,15,1978,yes
111,30,No,travel_rarely,5,3,,2,1,3,3,sales_executive,4,,10007.0,8053,2,No,12,3.0,3,1,,2,3.0,10,7,4,1993,yes
112,30,No,,9,3,,3,0,3,2,laboratory_technician,1,,3072.0,11012,1,No,11,,3,2,12.0,4,3.0,12,6,10,1993,yes
113,34,No,travel_frequently,29,1,,4,0,2,2,manufacturing_director,3,married,5304.0,14074,1,,17,3.0,3,0,10.0,2,2.0,10,1,9,1989,no
114,51,No,travel_rarely,8,4,life_sciences,2,0,2,3,research_director,2,married,12490.0,15736,5,No,16,3.0,4,2,16.0,5,1.0,10,4,7,1972,no
115,34,No,,39,4,life_sciences,39,0,2,2,manufacturing_director,1,,5304.0,23687,6,,13,3.0,2,1,13.0,3,3.0,11,5,9,1989,yes
116,35,No,travel_rarely,16,3,,3,0,3,3,sales_executive,2,married,8020.0,5100,0,,15,3.0,3,2,12.0,3,2.0,11,6,9,1988,yes
117,45,No,travel_frequently,7,3,life_sciences,1,0,3,3,laboratory_technician,1,,10007.0,20308,1,,18,3.0,1,1,24.0,2,3.0,24,9,11,1978,yes
118,39,No,,10,1,,3,0,3,4,manager,1,married,17068.0,5355,1,,14,,4,0,21.0,3,3.0,21,11,10,1984,yes
119,31,No,,7,2,,3,1,2,3,manufacturing_director,3,married,8943.0,14034,1,No,24,4.0,1,1,10.0,2,3.0,10,8,9,1992,no
120,39,No,,7,2,,3,0,2,5,manager,4,married,19272.0,21141,1,,15,3.0,1,1,,2,3.0,21,13,3,1984,yes
121,45,No,travel_rarely,8,4,,4,0,3,2,research_scientist,4,,5304.0,9278,9,No,14,3.0,1,2,12.0,3,3.0,10,9,8,1978,yes
122,30,No,travel_rarely,5,3,marketing,4,1,2,2,sales_executive,3,,5304.0,5431,1,,13,3.0,3,3,10.0,2,3.0,10,1,2,1993,yes
123,31,No,,7,4,medical,3,1,3,3,manufacturing_director,4,,10007.0,25713,1,,14,3.0,3,0,11.0,2,2.0,11,4,10,1992,no
124,36,No,,3,4,medical,1,0,2,3,sales_executive,4,married,10007.0,7246,4,No,11,3.0,1,1,16.0,2,3.0,13,1,12,1987,yes
125,36,No,travel_rarely,2,2,,2,0,2,3,sales_executive,3,married,10007.0,3809,1,,13,3.0,2,2,10.0,2,3.0,10,9,0,1987,yes
126,55,No,travel_rarely,18,5,,1,1,3,4,manager,2,single,15341.0,9873,3,No,23,4.0,4,0,37.0,2,3.0,10,7,7,1968,yes
127,35,No,,1,3,,2,0,3,2,sales_executive,3,,5304.0,18659,9,,11,3.0,3,0,15.0,2,3.0,11,6,9,1988,yes
128,42,No,travel_rarely,24,3,medical,4,0,3,3,manufacturing_director,1,married,10007.0,6950,1,,21,4.0,4,1,10.0,5,2.0,10,5,8,1981,no
129,52,No,travel_rarely,6,2,,4,0,3,2,research_scientist,1,divorced,5577.0,22087,3,Yes,12,,2,2,18.0,3,3.0,10,6,9,1971,yes
130,49,No,,18,4,life_sciences,4,0,2,5,research_director,3,,19132.0,2125,1,Yes,17,3.0,3,1,,5,3.0,31,0,9,1974,yes
131,34,No,travel_rarely,1,5,,2,0,3,1,research_scientist,4,married,2691.0,7660,1,No,12,3.0,4,1,,4,2.0,10,8,8,1989,yes
132,33,Yes,travel_rarely,1,4,other,4,0,3,1,research_scientist,4,single,2683.0,5207,1,,13,3.0,3,0,10.0,2,2.0,10,7,8,1990,no
133,33,No,,7,3,medical,3,0,3,3,research_director,3,married,10007.0,25995,0,No,11,3.0,4,0,,3,4.0,13,3,7,1990,yes
134,53,No,travel_rarely,23,4,,4,1,3,4,research_director,4,,15341.0,20206,6,No,18,3.0,3,0,33.0,0,3.0,12,3,8,1970,yes
135,49,No,travel_rarely,8,2,other,1,1,3,3,laboratory_technician,2,married,7403.0,22477,4,,11,3.0,3,1,29.0,3,2.0,26,1,7,1974,no
136,35,No,,21,4,,21,0,3,3,sales_executive,4,,10007.0,6812,6,,13,3.0,2,1,,2,3.0,10,0,8,1988,no
137,38,No,travel_rarely,17,1,life_sciences,3,1,2,3,healthcare_representative,3,married,8823.0,24608,0,,18,3.0,1,1,20.0,4,2.0,19,1,9,1985,no
138,46,No,,3,1,marketing,1,0,3,4,manager,3,married,15341.0,15596,3,No,12,3.0,4,1,,3,3.0,12,4,9,1977,no
139,36,No,non-travel,18,4,,1,0,3,2,manufacturing_director,4,single,5304.0,23238,2,,20,4.0,1,0,18.0,0,3.0,11,0,9,1987,no
140,42,Yes,travel_frequently,15,3,life_sciences,15,0,3,4,sales_executive,1,single,15341.0,2447,0,,12,,2,0,,2,2.0,21,13,14,1981,yes
141,34,No,travel_frequently,1,3,,4,0,2,2,healthcare_representative,1,single,5304.0,25755,0,No,20,4.0,3,0,14.0,3,3.0,13,4,9,1989,yes
142,30,No,travel_rarely,1,3,medical,4,0,3,1,research_scientist,2,,3579.0,9369,0,Yes,21,4.0,1,1,12.0,2,3.0,11,5,7,1993,yes
143,54,No,travel_rarely,3,3,life_sciences,4,0,3,4,research_director,4,married,17779.0,23474,3,No,14,3.0,1,0,36.0,2,3.0,10,0,9,1969,yes
144,31,No,travel_rarely,24,3,medical,3,1,2,2,healthcare_representative,1,single,5304.0,17198,1,No,19,,2,0,10.0,2,3.0,10,1,8,1992,no
145,44,No,,5,3,,2,0,3,5,manager,2,married,18213.0,8751,7,No,11,3.0,3,1,26.0,5,3.0,22,3,10,1979,yes
146,55,No,non-travel,8,1,,4,0,2,4,healthcare_representative,2,divorced,13577.0,25592,1,Yes,15,3.0,4,1,,3,3.0,33,15,0,1968,no
147,44,No,travel_rarely,4,2,life_sciences,3,0,4,5,manager,1,divorced,19190.0,17477,1,No,14,3.0,4,2,,4,2.0,25,14,13,1979,no
148,34,No,travel_frequently,11,3,life_sciences,3,0,2,2,human_resources,2,,5304.0,21833,4,No,11,3.0,4,2,14.0,5,4.0,10,1,8,1989,yes
149,39,No,,13,4,,3,1,2,4,manager,2,divorced,17123.0,17334,6,Yes,13,3.0,4,2,,4,3.0,19,15,2,1984,no
150,55,No,travel_rarely,2,2,medical,4,1,1,5,manager,3,,19187.0,6992,4,,14,,4,1,23.0,5,3.0,19,9,11,1968,yes
151,51,No,,5,3,life_sciences,3,0,3,4,manager,2,,15341.0,17588,1,,11,3.0,2,1,,2,3.0,33,0,10,1972,yes
152,58,Yes,,14,4,medical,14,1,2,3,manufacturing_director,1,married,10008.0,12023,7,,14,3.0,4,0,,0,2.0,10,5,9,1965,yes
153,48,No,,4,3,life_sciences,4,0,3,3,manufacturing_director,4,single,10007.0,18706,1,No,11,3.0,3,0,11.0,2,3.0,10,0,8,1975,yes
154,29,No,travel_rarely,17,3,,2,0,2,3,human_resources,1,single,7988.0,9769,1,,13,3.0,1,0,,3,2.0,10,0,9,1994,no
155,34,No,,3,3,other,4,0,1,2,sales_executive,1,single,5304.0,15891,3,No,18,,4,0,15.0,2,3.0,13,3,12,1989,yes
156,42,No,travel_frequently,9,2,,1,1,3,1,laboratory_technician,4,,2683.0,16458,1,,13,3.0,3,0,12.0,3,3.0,12,5,8,1981,yes
157,57,No,travel_rarely,1,2,life_sciences,2,0,4,2,research_scientist,3,married,5304.0,2721,0,No,24,4.0,1,1,13.0,2,2.0,12,2,8,1966,yes
158,34,Yes,travel_rarely,24,4,,1,1,2,2,sales_executive,2,single,5304.0,7815,0,Yes,23,4.0,3,0,16.0,2,4.0,15,10,10,1989,no
159,54,No,travel_frequently,11,4,medical,2,1,3,4,manager,4,,15341.0,24456,3,No,20,,1,1,26.0,2,3.0,14,1,12,1969,yes
160,34,No,travel_rarely,1,3,,4,0,2,3,sales_executive,3,,7083.0,12288,1,,14,3.0,4,0,,3,3.0,10,8,6,1989,no
161,29,No,,3,1,medical,2,0,3,1,laboratory_technician,1,single,4723.0,16213,1,,18,3.0,4,0,,3,,10,1,5,1994,yes
162,35,No,travel_rarely,28,3,life_sciences,2,0,4,2,laboratory_technician,3,,3407.0,25348,1,,17,,4,2,,3,2.0,10,6,8,1988,yes
163,35,Yes,,12,4,other,4,0,3,2,sales_executive,4,,5304.0,10414,3,,24,4.0,1,0,13.0,2,4.0,11,6,7,1988,yes
164,34,No,travel_rarely,19,3,life_sciences,2,1,2,1,research_scientist,4,married,2929.0,20338,1,No,12,3.0,2,0,10.0,3,3.0,10,8,7,1989,yes
165,43,No,,2,3,,4,0,3,2,sales_executive,4,,5304.0,6069,1,Yes,17,3.0,1,1,10.0,3,3.0,10,8,8,1980,no
166,58,No,non-travel,2,3,medical,2,0,3,4,manager,2,divorced,15341.0,22577,4,No,22,4.0,4,1,37.0,0,2.0,16,14,14,1965,yes
167,36,No,travel_rarely,14,4,,14,1,2,2,sales_executive,3,married,5304.0,6060,1,Yes,13,3.0,1,1,10.0,4,3.0,10,1,7,1987,no
168,43,No,travel_rarely,11,3,life_sciences,1,0,3,3,healthcare_representative,3,married,10007.0,16873,1,,17,3.0,2,1,10.0,1,3.0,10,0,9,1980,yes
169,55,No,,26,4,human_resources,3,0,4,5,manager,2,married,19132.0,25811,4,Yes,18,3.0,1,1,35.0,0,3.0,10,1,4,1968,yes
170,42,No,,23,2,,4,0,2,2,research_scientist,3,single,5304.0,14811,1,,12,3.0,4,0,20.0,2,3.0,20,3,7,1981,yes
171,40,No,,11,3,technical_degree,4,1,3,2,laboratory_technician,3,married,5304.0,26849,1,,11,,1,1,10.0,2,4.0,10,9,4,1983,yes
